"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"77","Elanoides forficatus","Elanoides","forficatus","American Swallow-tailed Kite","Accipitriformes","Accipitridae",70,10,"Invertebrate",0.801818553,500,640,640,NA,NA,NA,NA,NA,0.8962,7.6,"LC"
"78","Empidonax alnorum","Empidonax","alnorum","Alder Flycatcher","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,130,170,170,2.17,9.1,9.1,0.2,3,3,2.06,"LC"
"79","Empidonax difficilis","Empidonax","difficilis","Pacific-slope Flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,140,170,170,NA,NA,6,0.015,0.035,0.035,3.7,"LC"
"80","Empidonax minimus","Empidonax","minimus","Least Flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,124,140,140,NA,NA,NA,0.01,0.38,0.38,1.99,"LC"
"81","Empidonax traillii","Empidonax","traillii","Willow Flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,133,170,170,1,11,1.025,0.32,1.8,1.21,2.73,"LC"
"82","Empidonax virescens","Empidonax","virescens","Acadian Flycatcher","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,130,150,150,NA,12.083,10.75,0.53,2.84,1.27,2.73,"LC"
"83","Eubucco aurantiicollis","Eubucco","aurantiicollis","Flame-throated Barbet","Piciformes","Ramphastidae",40,60,"FruiNect",0.673011667,145,155,155,NA,NA,NA,NA,NA,0.1,8.5,"LC"
"84","Eucometis penicillata","Eucometis","penicillata","Grey-headed Tanager","Passeriformes","Thraupidae",80,20,"Invertebrate",0.500402424,160,170,170,NA,NA,8.4,NA,NA,1,3.7,"LC"
"85","Euphonia cayennensis","Euphonia","cayennensis","Golden-sided Euphonia","Passeriformes","Thraupidae",50,50,"Omnivore",0.693147181,NA,NA,110,NA,NA,NA,NA,NA,0.103,3.5,"LC"
"86","Euphonia pectoralis","Euphonia","pectoralis","Chestnut-bellied Euphonia","Passeriformes","Thraupidae",20,70,"FruiNect",0.801818553,NA,NA,110,NA,NA,NA,NA,NA,0.0014,3.5,"LC"
"87","Euphonia violacea","Euphonia","violacea","Violaceous Euphonia","Passeriformes","Thraupidae",0,100,"FruiNect",0,100,114,114,NA,NA,NA,NA,NA,0.0013,3.5,"LC"
"88","Eupsittula aurea","Eupsittula","aurea","Peach-fronted Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,230,280,280,NA,NA,15.34,NA,NA,0.0045,7,"LC"
"89","Geothlypis formosa","Geothlypis","formosa","Kentucky Warbler","Passeriformes","Parulidae",80,10,"Invertebrate",0.63903186,NA,NA,130,NA,NA,6.9,NA,NA,0.0021,2.45,"LC"
"90","Geotrygon montana","Geotrygon","montana","Ruddy Quail-dove","Columbiformes","Columbidae",20,30,"Omnivore",1.029653014,210,280,280,NA,NA,NA,NA,NA,0.0058,5.3,"LC"
"91","Grallaria alticola","Grallaria","alticola","Northern Tawny Antpitta","Passeriformes","Formicariidae",80,10,"Invertebrate",0.63903186,NA,NA,160,NA,NA,NA,0.005,0.093,0.093,3.5,"LC"
"92","Grallaria atuensis","Grallaria","atuensis","Southern Tawny Antpitta","Passeriformes","Formicariidae",80,10,"Invertebrate",0.63903186,NA,NA,180,NA,NA,NA,0.005,0.093,0.093,3.5,"LC"
