IUCN_species_name,genus,species,common_name,order_e,family_e,diet_inv_e,diet_fruit_e,diet_cat_e,diet_breadth,min_body_size_mm,max_body_size_mm,body_size_mm,min_longevity,max_longevity,longevity,min_home_range,max_home_range,home_range_size,generation_time,IUCN_category
Atlapetes albofrenatus,Atlapetes,albofrenatus,Moustached Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,175,180,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes blancae,Atlapetes,blancae,Antioquia Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,CR
Atlapetes canigenis,Atlapetes,canigenis,Grey Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes citrinellus,Atlapetes,citrinellus,Yellow-striped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes flaviceps,Atlapetes,flaviceps,Yellow-headed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.1,EN
Atlapetes forbesi,Atlapetes,forbesi,Apurimac Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes fulviceps,Atlapetes,fulviceps,Fulvous-headed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes fuscoolivaceus,Atlapetes,fuscoolivaceus,Dusky-headed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,170,180,180,NA,NA,NA,NA,NA,NA,3.8,NT
Atlapetes latinuchus,Atlapetes,latinuchus,Yellow-breasted Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes leucopis,Atlapetes,leucopis,White-rimmed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes leucopterus,Atlapetes,leucopterus,White-winged Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,155,165,165,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes melanocephalus,Atlapetes,melanocephalus,Santa Marta Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes melanolaemus,Atlapetes,melanolaemus,Black-faced Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes melanopsis,Atlapetes,melanopsis,Black-spectacled Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,EN
Atlapetes nationi,Atlapetes,nationi,Rusty-bellied Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes pallidinucha,Atlapetes,pallidinucha,Pale-naped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes personatus,Atlapetes,personatus,Tepui Brush-finch,Passeriformes,Emberizidae,50,50,Omnivore,0.693147181,170,180,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes pileatus,Atlapetes,pileatus,Rufous-capped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,145,165,165,2,5,5,NA,NA,NA,3,LC
Atlapetes rufigenis,Atlapetes,rufigenis,Rufous-eared Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,175,190,190,NA,NA,NA,NA,NA,NA,3.8,NT
Atlapetes rufinucha,Atlapetes,rufinucha,Rufous-naped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes schistaceus,Atlapetes,schistaceus,Slaty Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,170,180,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes seebohmi,Atlapetes,seebohmi,Bay-crowned Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,160,170,170,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes semirufus,Atlapetes,semirufus,Ochre-breasted Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,180,NA,NA,NA,NA,NA,NA,3.8,LC
Atlapetes terborghi,Atlapetes,terborghi,Vilcabamba Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,165,170,170,NA,NA,NA,NA,NA,NA,3.8,NT
Atlapetes tricolor,Atlapetes,tricolor,Tricoloured Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,160,180,180,NA,NA,NA,NA,NA,NA,3.8,LC
Attila bolivianus,Attila,bolivianus,Dull-capped Attila,Passeriformes,Tyrannidae,80,20,Invertebrate,0.500402424,190,220,220,NA,NA,6,NA,NA,NA,3.2,LC
Attila citriniventris,Attila,citriniventris,Citron-bellied Attila,Passeriformes,Tyrannidae,80,20,Invertebrate,0.500402424,180,185,185,NA,NA,6,NA,NA,NA,3.2,LC
Attila phoenicurus,Attila,phoenicurus,Rufous-tailed Attila,Passeriformes,Tyrannidae,70,20,Invertebrate,0.801818553,176,180,180,NA,NA,NA,NA,NA,0.0024,3.2,LC
Attila spadiceus,Attila,spadiceus,Bright-rumped Attila,Passeriformes,Tyrannidae,50,10,Omnivore,1.16828245,170,215,215,NA,NA,NA,NA,NA,0.12,3.2,LC
Attila torridus,Attila,torridus,Ochraceous Attila,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,200,220,220,NA,NA,NA,NA,NA,NA,3.2,VU
Aulacorhynchus albivitta,Aulacorhynchus,albivitta,Greyish-throated Toucanet,Piciformes,Ramphastidae,30,50,Omnivore,1.16828245,300,370,370,10,11,11,NA,NA,NA,7,LC
Aulacorhynchus atrogularis,Aulacorhynchus,atrogularis,Black-throated Toucanet,Piciformes,Ramphastidae,30,50,Omnivore,1.16828245,290,370,370,NA,NA,11,NA,NA,NA,7,LC
Aulacorhynchus caeruleogularis,Aulacorhynchus,caeruleogularis,Blue-throated Toucanet,Piciformes,Ramphastidae,30,50,Omnivore,1.16828245,290,370,370,NA,NA,11,NA,NA,0.002,7,LC
Aulacorhynchus calorhynchus,Aulacorhynchus,calorhynchus,Yellow-billed Toucanet,Piciformes,Ramphastidae,30,40,Omnivore,1.088899975,330,370,370,NA,NA,NA,NA,NA,NA,7,LC
Aulacorhynchus coeruleicinctis,Aulacorhynchus,coeruleicinctis,Blue-banded Toucanet,Piciformes,Ramphastidae,50,50,Omnivore,0.693147181,400,440,440,NA,NA,NA,NA,NA,NA,7,LC
Aulacorhynchus cyanolaemus,Aulacorhynchus,cyanolaemus,Black-billed Toucanet,Piciformes,Ramphastidae,30,50,Omnivore,1.16828245,300,370,370,NA,NA,NA,NA,NA,NA,7,LC
Aulacorhynchus derbianus,Aulacorhynchus,derbianus,Chestnut-tipped Toucanet,Piciformes,Ramphastidae,20,40,Omnivore,1.054920168,330,410,410,NA,NA,NA,NA,NA,NA,7,LC
Aulacorhynchus huallagae,Aulacorhynchus,huallagae,Yellow-browed Toucanet,Piciformes,Ramphastidae,10,40,Omnivore,1.193549604,380,440,440,NA,NA,NA,NA,NA,NA,7,EN
Aulacorhynchus prasinus,Aulacorhynchus,prasinus,Emerald Toucanet,Piciformes,Ramphastidae,30,50,Omnivore,1.16828245,300,370,370,10,11,11,NA,NA,NA,7,LC
Aulacorhynchus sulcatus,Aulacorhynchus,sulcatus,Groove-billed Toucanet,Piciformes,Ramphastidae,30,40,Omnivore,1.088899975,330,370,370,NA,NA,NA,NA,NA,NA,7,LC
Aulacorhynchus wagleri,Aulacorhynchus,wagleri,Wagler's Toucanet,Piciformes,Ramphastidae,30,50,Omnivore,1.16828245,290,370,370,NA,NA,11,NA,NA,NA,7,LC
Aulacorhynchus whitelianus,Aulacorhynchus,whitelianus,Tepui Toucanet,Piciformes,Ramphastidae,20,40,Omnivore,1.054920168,330,410,410,NA,NA,NA,NA,NA,NA,7,LC
Baeolophus atricristatus,Baeolophus,atricristatus,Black-crested Titmouse,Passeriformes,Paridae,60,20,Invertebrate,0.950270539,NA,NA,150,NA,13.4,2.1,0.0496,0.1332,0.1332,4,LC
Bangsia arcaei,Bangsia,arcaei,Blue-and-gold Tanager,Passeriformes,Thraupidae,20,60,FruiNect,0.950270539,133,150,150,NA,NA,NA,NA,NA,NA,2.98,NT
Bangsia aureocincta,Bangsia,aureocincta,Gold-ringed Tanager,Passeriformes,Thraupidae,40,40,Omnivore,1.054920168,157,172,172,NA,NA,NA,NA,NA,NA,3.3,EN
Bangsia edwardsi,Bangsia,edwardsi,Moss-backed Tanager,Passeriformes,Thraupidae,30,40,Omnivore,1.088899975,150,160,160,NA,NA,NA,NA,NA,NA,3.7,LC
Bangsia flavovirens,Bangsia,flavovirens,Tanager Finch,Passeriformes,Thraupidae,30,50,Omnivore,1.029653014,NA,NA,140,NA,NA,NA,NA,NA,NA,3.7,VU
Bangsia melanochlamys,Bangsia,melanochlamys,Black-and-gold Tanager,Passeriformes,Thraupidae,20,50,FruiNect,1.220607265,150,160,160,NA,NA,NA,NA,NA,NA,3.7,VU
Bangsia rothschildi,Bangsia,rothschildi,Golden-chested Tanager,Passeriformes,Thraupidae,0,50,FruiNect,1.029653014,150,160,160,NA,NA,NA,NA,NA,NA,3.7,LC
Baryphthengus martii,Baryphthengus,martii,Rufous Motmot,Coraciiformes,Momotidae,30,50,Omnivore,1.16828245,420,490,490,NA,NA,NA,NA,NA,NA,5.2,LC
Baryphthengus ruficapillus,Baryphthengus,ruficapillus,Rufous-capped Motmot,Coraciiformes,Momotidae,60,20,Invertebrate,1.088899975,NA,NA,420,NA,NA,11,NA,NA,NA,3.6,LC
Basileuterus cabanisi,Basileuterus,cabanisi,Golden-crowned Warbler,Passeriformes,Parulidae,80,20,Invertebrate,0.500402424,120,135,135,NA,NA,NA,NA,NA,0.001,2,LC
Basileuterus melanogenys,Basileuterus,melanogenys,Black-cheeked Warbler,Passeriformes,Parulidae,80,20,Invertebrate,0.500402424,NA,NA,135,NA,NA,NA,NA,NA,NA,2.7,LC
Basileuterus rufifrons,Basileuterus,rufifrons,Rufous-capped Warbler,Passeriformes,Parulidae,80,20,Invertebrate,0.500402424,NA,NA,130,NA,NA,NA,NA,NA,NA,2.5,LC
Bolborhynchus lineola,Bolborhynchus,lineola,Barred Parakeet,Psittaciformes,Psittacidae,0,40,PlantSeed,1.088899975,160,180,180,NA,NA,NA,NA,NA,NA,6,LC
Bolborhynchus orbygnesius,Bolborhynchus,orbygnesius,Andean Parakeet,Psittaciformes,Psittacidae,0,50,Omnivore,0.693147181,160,170,170,NA,NA,9.2,NA,NA,NA,6,LC
