IUCN_species_name,genus,species,common_name,order_e,family_e,diet_inv_e,diet_fruit_e,diet_cat_e,diet_breadth,min_body_size_mm,max_body_size_mm,body_size_mm,min_longevity,max_longevity,longevity,min_home_range,max_home_range,home_range_size,generation_time,IUCN_category
Crypturellus boucardi,Crypturellus,boucardi,Slaty-breasted Tinamou,Tinamiformes,Tinamidae,20,40,Omnivore,1.054920168,255,280,280,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Crypturellus brevirostris,Crypturellus,brevirostris,Rusty Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,250,280,280,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Crypturellus casiquiare,Crypturellus,casiquiare,Barred Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,255,270,270,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Crypturellus cinereus,Crypturellus,cinereus,Cinereous Tinamou,Tinamiformes,Tinamidae,0,100,FruiNect,0,290,320,320,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Crypturellus cinnamomeus,Crypturellus,cinnamomeus,Thicket Tinamou,Tinamiformes,Tinamidae,30,30,Omnivore,1.313834033,250,300,300,NA,NA,NA,0.113,0.19,0.19,5.61,LC
Crypturellus cinnamomeus,Crypturellus,occidentalis,Thicket Tinamou,Tinamiformes,Tinamidae,30,30,Omnivore,1.313834033,250,300,300,NA,NA,NA,0.113,0.19,0.19,5.6,LC
Crypturellus duidae,Crypturellus,duidae,Grey-legged Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,285,310,310,NA,NA,NA,0.113,0.19,0.19,5.5,NT
Crypturellus erythropus,Crypturellus,erythropus,Red-legged Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,275,315,315,NA,NA,NA,NA,NA,NA,6.8,LC
Crypturellus kerriae,Crypturellus,kerriae,Choco Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,250,265,265,NA,NA,NA,0.113,0.19,0.19,6.8,VU
Crypturellus ptaritepui,Crypturellus,ptaritepui,Tepui Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,285,300,300,NA,NA,NA,NA,NA,NA,6.8,LC
Crypturellus soui,Crypturellus,soui,Little Tinamou,Tinamiformes,Tinamidae,20,40,Omnivore,1.33217904,200,240,240,NA,NA,NA,0.113,0.19,0.19,5.1,LC
Crypturellus strigulosus,Crypturellus,strigulosus,Brazilian Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,270,290,290,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Crypturellus transfasciatus,Crypturellus,transfasciatus,Pale-browed Tinamou,Tinamiformes,Tinamidae,30,20,Omnivore,1.279854226,255,290,290,NA,NA,NA,0.113,0.19,0.19,5,NT
Crypturellus undulatus,Crypturellus,undulatus,Undulated Tinamou,Tinamiformes,Tinamidae,0,100,FruiNect,0,280,320,320,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Crypturellus variegatus,Crypturellus,variegatus,Variegated Tinamou,Tinamiformes,Tinamidae,0,100,FruiNect,0,280,310,310,NA,NA,NA,0.113,0.19,0.19,6.8,LC
Cyanerpes caeruleus,Cyanerpes,caeruleus,Purple Honeycreeper,Passeriformes,Thraupidae,40,30,FruiNect,1.088899975,93,114,114,17,18,18,NA,NA,NA,3.86,LC
Cyanerpes cyaneus,Cyanerpes,cyaneus,Red-legged Honeycreeper,Passeriformes,Thraupidae,40,40,FruiNect,1.054920168,110,130,130,17,18,18,NA,NA,NA,4.09,LC
Cyanerpes lucidus,Cyanerpes,lucidus,Shining Honeycreeper,Passeriformes,Thraupidae,40,40,FruiNect,1.054920168,NA,NA,100,NA,NA,NA,NA,NA,NA,3.3,LC
Cyanerpes nitidus,Cyanerpes,nitidus,Short-billed Honeycreeper,Passeriformes,Thraupidae,50,50,Omnivore,0.693147181,NA,NA,107,NA,NA,NA,NA,NA,NA,3.3,LC
Cyanocitta cristata,Cyanocitta,cristata,Blue Jay,Passeriformes,Corvidae,20,20,Omnivore,1.470808476,220,300,300,7,26.25,26.25,NA,NA,NA,6.8,LC
Cyanocitta stelleri,Cyanocitta,stelleri,Steller's Jay,Passeriformes,Corvidae,20,20,Omnivore,1.609437912,300,340,340,NA,NA,16,0.05,4.29,4.29,7,LC
Cyanocompsa parellina,Cyanocompsa,parellina,Blue Bunting,Passeriformes,Cardinalidae,20,70,FruiNect,0.801818553,130,140,140,NA,NA,NA,NA,NA,NA,2.8,LC
Cyanocorax affinis,Cyanocorax,affinis,Black-chested Jay,Passeriformes,Corvidae,30,60,FruiNect,0.897945725,330,360,360,15.21,80,80,NA,NA,NA,6.3,LC
Cyanocorax cayanus,Cyanocorax,cayanus,Cayenne Jay,Passeriformes,Corvidae,50,50,Omnivore,0.693147181,NA,NA,330,15.21,80,80,NA,NA,NA,6.1,LC
Cyanocorax chrysops,Cyanocorax,chrysops,Plush-crested Jay,Passeriformes,Corvidae,80,20,Invertebrate,0.500402424,355,360,360,NA,NA,NA,0.05,0.3,0.3,6.1,LC
Cyanocorax coeruleus,Cyanocorax,coeruleus,Azure Jay,Passeriformes,Corvidae,30,30,Omnivore,1.313834033,NA,NA,380,NA,NA,36,NA,NA,NA,6.1,NT
Cyanocorax colliei,Cyanocorax,colliei,Black-throated Magpie-jay,Passeriformes,Corvidae,50,50,Omnivore,0.693147181,580,770,770,15.21,80,80,NA,NA,NA,6.7,LC
Cyanocorax cristatellus,Cyanocorax,cristatellus,Curl-crested Jay,Passeriformes,Corvidae,40,40,Omnivore,1.193549604,345,350,350,15.21,80,80,126,218,172,6.1,LC
Cyanocorax cyanomelas,Cyanocorax,cyanomelas,Purplish Jay,Passeriformes,Corvidae,40,40,Omnivore,1.193549604,NA,NA,370,15.21,80,80,NA,NA,NA,6.1,LC
Cyanocorax dickeyi,Cyanocorax,dickeyi,Tufted Jay,Passeriformes,Corvidae,20,30,Omnivore,1.557113098,355,380,380,NA,NA,NA,NA,NA,NA,6.78,NT
Cyanocorax formosus,Cyanocorax,formosus,White-throated Magpie-jay,Passeriformes,Corvidae,20,20,Omnivore,1.748067349,430,560,560,15.21,80,80,NA,NA,NA,7.5,LC
Cyanocorax heilprini,Cyanocorax,heilprini,Azure-naped Jay,Passeriformes,Corvidae,50,50,Omnivore,0.693147181,330,360,360,15.21,80,80,NA,NA,NA,6.1,LC
Cyanocorax melanocyaneus,Cyanocorax,melanocyaneus,Bushy-crested Jay,Passeriformes,Corvidae,60,20,Invertebrate,0.950270539,280,330,330,NA,NA,NA,0.03,0.04,0.04,6.1,LC
Cyanocorax morio,Cyanocorax,morio,Brown Jay,Passeriformes,Corvidae,30,20,Omnivore,1.504788284,380,440,440,15.21,80,80,0.1,0.2,0.2,7.4,LC
Cyanocorax violaceus,Cyanocorax,violaceus,Violaceous Jay,Passeriformes,Corvidae,50,50,Omnivore,0.693147181,330,370,370,15.21,80,80,NA,NA,NA,6.1,LC
Cyanocorax yncas,Cyanocorax,yncas,Green Jay,Passeriformes,Corvidae,40,40,Omnivore,1.193549604,NA,NA,290,NA,NA,11.58,NA,NA,NA,6.1,LC
Cyanocorax yucatanicus,Cyanocorax,yucatanicus,Yucatan Jay,Passeriformes,Corvidae,40,30,Omnivore,1.088899975,320,350,350,15.21,80,80,NA,NA,NA,5.9,LC
Cyanoloxia glaucocaerulea,Cyanoloxia,glaucocaerulea,Glaucous-blue Grosbeak,Passeriformes,Cardinalidae,40,20,Omnivore,1.279854226,NA,NA,140,NA,NA,NA,NA,NA,NA,4.1,LC
Cyanolyca argentigula,Cyanolyca,argentigula,Silvery-throated Jay,Passeriformes,Corvidae,40,30,Omnivore,1.088899975,NA,NA,260,NA,NA,NA,NA,NA,NA,5.5,LC
Cyanolyca armillata,Cyanolyca,armillata,Black-collared Jay,Passeriformes,Corvidae,70,30,Invertebrate,0.610864302,300,320,320,NA,NA,NA,NA,NA,NA,6.7,LC
Cyanolyca cucullata,Cyanolyca,cucullata,Azure-hooded Jay,Passeriformes,Corvidae,50,50,Omnivore,0.693147181,280,305,305,NA,NA,NA,NA,NA,NA,5,LC
Cyanolyca mirabilis,Cyanolyca,mirabilis,White-throated Jay,Passeriformes,Corvidae,70,30,Invertebrate,0.610864302,138,147,142,NA,NA,NA,NA,NA,NA,6.7,VU
Cyanolyca pulchra,Cyanolyca,pulchra,Beautiful Jay,Passeriformes,Corvidae,70,30,Invertebrate,0.610864302,NA,NA,270,NA,NA,NA,NA,NA,NA,6.7,NT
Cyanolyca pumilo,Cyanolyca,pumilo,Black-throated Jay,Passeriformes,Corvidae,90,10,Invertebrate,0.325082973,233,257,257,NA,NA,NA,NA,NA,NA,3.4,LC
Cyanolyca turcosa,Cyanolyca,turcosa,Turquoise Jay,Passeriformes,Corvidae,70,30,Invertebrate,0.610864302,300,340,340,NA,NA,NA,NA,NA,NA,6.7,LC
Cyanolyca viridicyanus,Cyanolyca,viridicyanus,White-collared Jay,Passeriformes,Corvidae,70,30,Invertebrate,0.610864302,NA,NA,340,NA,NA,NA,NA,NA,NA,6.7,NT
Cymbilaimus lineatus,Cymbilaimus,lineatus,Fasciated Antshrike,Passeriformes,Thamnophilidae,70,10,Invertebrate,0.801818553,170,180,180,NA,NA,2.58,NA,NA,0.103,4.8,LC
Cyphorhinus arada,Cyphorhinus,arada,Musician Wren,Passeriformes,Troglodytidae,80,20,Invertebrate,0.500402424,NA,NA,125,NA,NA,NA,NA,NA,NA,4.2,LC
Cyphorhinus thoracicus,Cyphorhinus,thoracicus,Chestnut-breasted Wren,Passeriformes,Troglodytidae,90,10,Invertebrate,0.325082973,115,150,150,NA,NA,NA,NA,NA,NA,3.8,LC
Cyrtonyx montezumae,Cyrtonyx,montezumae,Montezuma Quail,Galliformes,Odontophoridae,40,10,Omnivore,1.193549604,205,230,230,NA,NA,7,0.01,0.5,0.5,3.9,LC
Cyrtonyx ocellatus,Cyrtonyx,ocellatus,Ocellated Quail,Galliformes,Odontophoridae,40,10,Omnivore,1.193549604,205,230,230,NA,NA,NA,0.01,0.02,0.02,2.24,VU
Cyrtonyx sallei,Cyrtonyx,sallei,Spot-breasted Quail,Galliformes,Odontophoridae,40,10,Omnivore,1.193549604,205,230,230,6,7,7,0.01,0.5,0.5,1.9,NT
Dacnis albiventris,Dacnis,albiventris,White-bellied Dacnis,Passeriformes,Thraupidae,50,50,Omnivore,0.693147181,100,109,109,NA,NA,NA,NA,NA,NA,3.7,LC
Dacnis berlepschi,Dacnis,berlepschi,Scarlet-breasted Dacnis,Passeriformes,Thraupidae,30,60,FruiNect,0.897945725,NA,NA,120,17,18,18,NA,NA,NA,3.7,VU
Dacnis cayana,Dacnis,cayana,Blue Dacnis,Passeriformes,Thraupidae,50,40,Omnivore,0.943348392,110,120,120,17,18,18,NA,NA,NA,2.61,LC
Dacnis hartlaubi,Dacnis,hartlaubi,Turquoise Dacnis,Passeriformes,Thraupidae,0,100,FruiNect,0,110,114,114,NA,NA,NA,NA,NA,NA,3.7,VU
Dacnis venusta,Dacnis,venusta,Scarlet-thighed Dacnis,Passeriformes,Thraupidae,30,60,FruiNect,0.897945725,NA,NA,120,NA,NA,NA,NA,NA,NA,3.7,LC
Dacnis viguieri,Dacnis,viguieri,Viridian Dacnis,Passeriformes,Thraupidae,30,60,FruiNect,0.897945725,95,105,105,17,18,18,NA,NA,NA,3.7,LC
Daptrius ater,Daptrius,ater,Black Caracara,Falconiformes,Falconidae,10,10,VertFishScav,1.748067349,410,470,470,NA,22,22,3.96,5.1,5.1,10.3,LC
Dendrexetastes rufigula,Dendrexetastes,rufigula,Cinnamon-throated Woodcreeper,Passeriformes,Dendrocolaptidae,90,10,Invertebrate,0.325082973,225,270,270,NA,NA,10.5,NA,NA,16,4.3,LC
Dendrortyx barbatus,Dendrortyx,barbatus,Bearded Wood-partridge,Galliformes,Odontophoridae,0,50,Omnivore,0.943348392,220,320,320,1,5,5,NA,NA,NA,5.76,VU
Dendrortyx leucophrys,Dendrortyx,leucophrys,Buffy-crowned Wood-partridge,Galliformes,Odontophoridae,0,30,PlantSeed,1.088899975,280,355,355,NA,NA,NA,NA,NA,NA,3.9,LC
Dendrortyx macroura,Dendrortyx,macroura,Long-tailed Wood-partridge,Galliformes,Odontophoridae,0,30,PlantSeed,1.088899975,305,381,381,NA,NA,NA,NA,NA,NA,3.9,LC
Deroptyus accipitrinus,Deroptyus,accipitrinus,Red-fan Parrot,Psittaciformes,Psittacidae,0,40,PlantSeed,1.054920168,350,360,360,NA,21.8,21.8,NA,NA,NA,7.7,LC
Diglossa caerulescens,Diglossa,caerulescens,Bluish Flowerpiercer,Passeriformes,Thraupidae,70,20,Invertebrate,0.801818553,NA,NA,135,NA,NA,NA,NA,NA,NA,3.7,LC
Diglossa cyanea,Diglossa,cyanea,Masked Flowerpiercer,Passeriformes,Thraupidae,60,20,Invertebrate,0.950270539,NA,NA,150,NA,NA,NA,NA,NA,NA,3.7,LC
Diglossa glauca,Diglossa,glauca,Deep-blue Flowerpiercer,Passeriformes,Thraupidae,50,30,Omnivore,1.029653014,110,120,120,NA,NA,NA,NA,NA,NA,3.7,LC
Diglossa indigotica,Diglossa,indigotica,Indigo Flowerpiercer,Passeriformes,Thraupidae,50,30,Omnivore,1.029653014,NA,NA,110,NA,NA,NA,NA,NA,NA,3.7,LC
Diopsittaca cumanensis,Diopsittaca,cumanensis,Red-shouldered Macaw,Psittaciformes,Psittacidae,0,50,Omnivore,0.693147181,300,330,330,NA,NA,22.9,NA,NA,NA,7.7,LC
Diopsittaca nobilis,Diopsittaca,nobilis,Red-shouldered Macaw,Psittaciformes,Psittacidae,0,50,Omnivore,0.693147181,300,330,330,NA,22.9,22.9,NA,NA,NA,7.7,LC
Doliornis remseni,Doliornis,remseni,Chestnut-bellied Cotinga,Passeriformes,Cotingidae,0,100,FruiNect,0,NA,NA,215,NA,NA,NA,NA,NA,NA,4.6,VU
Doliornis sclateri,Doliornis,sclateri,Bay-vented Cotinga,Passeriformes,Cotingidae,20,80,FruiNect,0.500402424,NA,NA,215,NA,NA,NA,NA,NA,NA,4.6,VU
Dryobates nuttallii,Dryobates,nuttallii,Nuttall's Woodpecker,Piciformes,Picidae,70,10,Invertebrate,0.940447989,160,180,180,NA,NA,8.75,NA,NA,0.65,4.4,LC
Dryobates pubescens,Dryobates,pubescens,Downy Woodpecker,Piciformes,Picidae,80,10,Invertebrate,0.63903186,140,170,170,9.75,11.92,11.92,2,12,12,4.7,LC
Dryobates scalaris,Dryobates,scalaris,Ladder-backed Woodpecker,Piciformes,Picidae,80,20,Invertebrate,0.500402424,160,180,180,NA,NA,7.5,NA,NA,NA,4.8,LC
Dubusia castaneoventris,Dubusia,castaneoventris,Chestnut-bellied Mountain-tanager,Passeriformes,Thraupidae,50,50,Omnivore,0.693147181,150,170,170,NA,NA,NA,NA,NA,NA,3.7,LC
Dubusia taeniata,Dubusia,taeniata,Buff-breasted Mountain-tanager,Passeriformes,Thraupidae,30,40,Omnivore,1.088899975,190,200,200,NA,NA,NA,NA,NA,NA,3.7,LC
Dumetella carolinensis,Dumetella,carolinensis,Grey Catbird,Passeriformes,Mimidae,60,40,Invertebrate,0.673011667,210,240,240,12.67,17,17,0.2,0.41,0.41,6.3,LC
Dysithamnus mentalis,Dysithamnus,mentalis,Plain Antvireo,Passeriformes,Thamnophilidae,90,10,Invertebrate,0.325082973,100,130,130,NA,NA,9.49,0.007,0.009,0.009,4.8,LC
Dysithamnus stictothorax,Dysithamnus,stictothorax,Spot-breasted Antvireo,Passeriformes,Thamnophilidae,90,10,Invertebrate,0.325082973,NA,NA,120,NA,NA,NA,NA,NA,NA,4.8,NT
Elaenia albiceps,Elaenia,albiceps,White-crested Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,135,150,150,NA,NA,NA,NA,NA,0.0014,4.6,LC
Elaenia dayi,Elaenia,dayi,Great Elaenia,Passeriformes,Tyrannidae,70,30,Invertebrate,0.610864302,NA,NA,200,NA,NA,NA,NA,NA,NA,4.6,LC
Elaenia frantzii,Elaenia,frantzii,Mountain Elaenia,Passeriformes,Tyrannidae,30,70,FruiNect,0.610864302,NA,NA,140,NA,NA,NA,NA,NA,NA,4.6,LC
Elaenia gigas,Elaenia,gigas,Mottle-backed Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,NA,NA,180,NA,NA,NA,NA,NA,NA,4.6,LC
Elaenia martinica,Elaenia,martinica,Caribbean Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,160,180,180,NA,NA,13.6,NA,NA,NA,3.53,LC
Elaenia mesoleuca,Elaenia,mesoleuca,Olivaceous Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,140,160,160,NA,NA,NA,NA,NA,0.0015,4.6,LC
Elaenia obscura,Elaenia,obscura,Highland Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,160,180,180,NA,NA,NA,NA,NA,0.0019,4.6,LC
Elaenia pallatangae,Elaenia,pallatangae,Sierran Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,140,145,145,NA,NA,NA,NA,NA,NA,4.6,LC
Elaenia parvirostris,Elaenia,parvirostris,Small-billed Elaenia,Passeriformes,Tyrannidae,70,30,Invertebrate,0.610864302,NA,NA,145,NA,NA,NA,NA,NA,NA,4.6,LC
Elaenia pelzelni,Elaenia,pelzelni,Brownish Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,NA,NA,180,NA,NA,6,NA,NA,NA,4.6,LC
Elaenia ruficeps,Elaenia,ruficeps,Rufous-crowned Elaenia,Passeriformes,Tyrannidae,80,20,Invertebrate,0.500402424,NA,NA,145,NA,NA,6,NA,NA,NA,4.6,LC
Elaenia spectabilis,Elaenia,spectabilis,Large Elaenia,Passeriformes,Tyrannidae,50,50,Omnivore,0.693147181,NA,NA,180,NA,NA,6,NA,NA,NA,4.6,LC
Elaenia strepera,Elaenia,strepera,Slaty Elaenia,Passeriformes,Tyrannidae,80,20,Invertebrate,0.500402424,NA,NA,155,NA,NA,6,NA,NA,NA,4.6,LC
Elanoides forficatus,Elanoides,forficatus,American Swallow-tailed Kite,Accipitriformes,Accipitridae,70,10,Invertebrate,0.801818553,500,640,640,NA,NA,NA,NA,NA,0.8962,7.6,LC
Empidonax alnorum,Empidonax,alnorum,Alder Flycatcher,Passeriformes,Tyrannidae,80,20,Invertebrate,0.500402424,130,170,170,2.17,9.1,9.1,0.2,3,3,2.06,LC
Empidonax difficilis,Empidonax,difficilis,Pacific-slope Flycatcher,Passeriformes,Tyrannidae,90,10,Invertebrate,0.325082973,140,170,170,NA,NA,6,0.015,0.035,0.035,3.7,LC
Empidonax flavescens,Empidonax,flavescens,Yellowish Flycatcher,Passeriformes,Tyrannidae,90,10,Invertebrate,0.325082973,120,130,130,NA,NA,NA,NA,NA,NA,3.7,LC
Empidonax flaviventris,Empidonax,flaviventris,Yellow-bellied Flycatcher,Passeriformes,Tyrannidae,90,10,Invertebrate,0.325082973,130,150,150,NA,NA,4,NA,NA,NA,3.7,LC
Empidonax minimus,Empidonax,minimus,Least Flycatcher,Passeriformes,Tyrannidae,90,10,Invertebrate,0.325082973,124,140,140,NA,NA,NA,0.01,0.38,0.38,1.99,LC
Empidonax occidentalis,Empidonax,occidentalis,Cordilleran Flycatcher,Passeriformes,Tyrannidae,90,10,Invertebrate,0.325082973,130,170,170,NA,NA,NA,NA,NA,NA,3.7,LC
Empidonax traillii,Empidonax,traillii,Willow Flycatcher,Passeriformes,Tyrannidae,90,10,Invertebrate,0.325082973,133,170,170,1,11,1.025,0.32,1.8,1.21,2.73,LC
Empidonax virescens,Empidonax,virescens,Acadian Flycatcher,Passeriformes,Tyrannidae,80,20,Invertebrate,0.500402424,130,150,150,NA,12.083,10.75,0.53,2.84,1.27,2.73,LC
Empidonomus varius,Empidonomus,varius,Variegated Flycatcher,Passeriformes,Tyrannidae,60,40,Invertebrate,0.673011667,180,190,190,NA,NA,NA,NA,NA,NA,3.6,LC
Entomodestes coracinus,Entomodestes,coracinus,Black Solitaire,Passeriformes,Turdidae,70,30,Invertebrate,0.610864302,NA,NA,230,NA,NA,NA,NA,NA,NA,4.3,LC
Entomodestes leucotis,Entomodestes,leucotis,White-eared Solitaire,Passeriformes,Turdidae,20,60,FruiNect,0.950270539,220,240,240,NA,NA,NA,NA,NA,NA,4.3,LC
Eubucco aurantiicollis,Eubucco,aurantiicollis,Flame-throated Barbet,Piciformes,Ramphastidae,40,60,FruiNect,0.673011667,145,155,155,NA,NA,NA,NA,NA,0.1,8.5,LC
Eubucco bourcierii,Eubucco,bourcierii,Red-headed Barbet,Piciformes,Ramphastidae,40,60,FruiNect,0.673011667,155,160,160,NA,NA,NA,NA,NA,NA,3,LC
Eubucco glaucogularis,Eubucco,glaucogularis,Blue-chinned Barbet,Piciformes,Ramphastidae,20,80,FruiNect,0.500402424,NA,NA,160,NA,NA,NA,NA,NA,NA,8.5,NT
Eubucco richardsoni,Eubucco,richardsoni,Lemon-throated Barbet,Piciformes,Ramphastidae,40,60,FruiNect,0.673011667,145,155,155,NA,NA,NA,NA,NA,NA,8.5,LC
Eubucco steerii,Eubucco,steerii,Blue-cowled Barbet,Piciformes,Ramphastidae,20,80,FruiNect,0.500402424,NA,NA,160,NA,NA,NA,NA,NA,NA,3.1,NT
Eubucco tucinkae,Eubucco,tucinkae,Scarlet-hooded Barbet,Piciformes,Ramphastidae,40,60,FruiNect,0.673011667,NA,NA,170,NA,NA,NA,NA,NA,NA,8.5,LC
Eubucco versicolor,Eubucco,versicolor,Versicoloured Barbet,Piciformes,Ramphastidae,20,80,FruiNect,0.500402424,NA,NA,160,NA,NA,NA,NA,NA,NA,8.5,LC
Eucometis penicillata,Eucometis,penicillata,Grey-headed Tanager,Passeriformes,Thraupidae,80,20,Invertebrate,0.500402424,160,170,170,NA,NA,8.4,NA,NA,1,3.7,LC
Eumomota superciliosa,Eumomota,superciliosa,Turquoise-browed Motmot,Coraciiformes,Momotidae,70,10,Invertebrate,0.801818553,330,380,380,NA,NA,NA,NA,NA,NA,2.9,LC
Euphonia affinis,Euphonia,affinis,Scrub Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,100,NA,NA,NA,NA,NA,NA,2.4,LC
Euphonia anneae,Euphonia,anneae,Tawny-capped Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,110,NA,NA,NA,NA,NA,NA,2.6,LC
Euphonia cayennensis,Euphonia,cayennensis,Golden-sided Euphonia,Passeriformes,Thraupidae,50,50,Omnivore,0.693147181,NA,NA,110,NA,NA,NA,NA,NA,0.103,3.5,LC
Euphonia chalybea,Euphonia,chalybea,Green-throated Euphonia,Passeriformes,Thraupidae,10,90,FruiNect,0.325082973,NA,NA,110,NA,NA,NA,NA,NA,NA,3.5,NT
Euphonia chlorotica,Euphonia,chlorotica,Purple-throated Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,90,100,100,17,18,18,NA,NA,NA,3.5,LC
Euphonia chrysopasta,Euphonia,chrysopasta,White-lored Euphonia,Passeriformes,Thraupidae,50,50,Omnivore,0.693147181,90,100,100,NA,NA,NA,NA,NA,NA,3.5,LC
Euphonia cyanocephala,Euphonia,cyanocephala,Golden-rumped Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,110,NA,NA,NA,NA,NA,NA,3.5,LC
Euphonia elegantissima,Euphonia,elegantissima,Blue-rumped Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,100,110,110,NA,NA,NA,NA,NA,NA,2.6,LC
Euphonia finschi,Euphonia,finschi,Finsch's Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,90,NA,NA,NA,NA,NA,NA,3.5,LC
Euphonia fulvicrissa,Euphonia,fulvicrissa,Fulvous-vented Euphonia,Passeriformes,Thraupidae,20,80,FruiNect,0.500402424,NA,NA,90,17,18,18,NA,NA,NA,2.4,LC
Euphonia gouldi,Euphonia,gouldi,Olive-backed Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,90,100,100,NA,NA,NA,NA,NA,NA,2.6,LC
Euphonia hirundinacea,Euphonia,hirundinacea,Yellow-throated Euphonia,Passeriformes,Thraupidae,10,90,FruiNect,0.325082973,100,110,110,17,18,18,NA,NA,NA,2,LC
Euphonia imitans,Euphonia,imitans,Spot-crowned Euphonia,Passeriformes,Thraupidae,20,70,FruiNect,0.801818553,NA,NA,100,NA,NA,NA,NA,NA,NA,2.6,LC
Euphonia laniirostris,Euphonia,laniirostris,Thick-billed Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,100,NA,NA,NA,NA,NA,NA,2.6,LC
Euphonia luteicapilla,Euphonia,luteicapilla,Yellow-crowned Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,90,17,18,18,NA,NA,NA,2.6,LC
Euphonia mesochrysa,Euphonia,mesochrysa,Bronze-green Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,90,100,100,NA,NA,NA,NA,NA,NA,3.5,LC
Euphonia minuta,Euphonia,minuta,White-vented Euphonia,Passeriformes,Thraupidae,60,40,Invertebrate,0.673011667,NA,NA,90,NA,NA,NA,NA,NA,NA,2.5,LC
Euphonia pectoralis,Euphonia,pectoralis,Chestnut-bellied Euphonia,Passeriformes,Thraupidae,20,70,FruiNect,0.801818553,NA,NA,110,NA,NA,NA,NA,NA,0.0014,3.5,LC
Euphonia plumbea,Euphonia,plumbea,Plumbeous Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,90,17,18,18,NA,NA,NA,3.5,LC
Euphonia rufiventris,Euphonia,rufiventris,Rufous-bellied Euphonia,Passeriformes,Thraupidae,0,80,FruiNect,0.500402424,NA,NA,100,17,18,18,NA,NA,NA,3.5,LC
Euphonia saturata,Euphonia,saturata,Orange-crowned Euphonia,Passeriformes,Thraupidae,10,90,FruiNect,0.325082973,NA,NA,100,17,18,18,NA,NA,NA,3.5,LC
Euphonia trinitatis,Euphonia,trinitatis,Trinidad Euphonia,Passeriformes,Thraupidae,50,50,Omnivore,0.693147181,NA,NA,100,17,18,18,NA,NA,NA,3.5,LC
Euphonia violacea,Euphonia,violacea,Violaceous Euphonia,Passeriformes,Thraupidae,0,100,FruiNect,0,100,114,114,NA,NA,NA,NA,NA,0.0013,3.5,LC
Euphonia xanthogaster,Euphonia,xanthogaster,Orange-bellied Euphonia,Passeriformes,Thraupidae,0,90,FruiNect,0.325082973,90,110,110,NA,NA,NA,NA,NA,NA,2.4,LC
Eupsittula astec,Eupsittula,astec,Olive-throated Parakeet,Psittaciformes,Psittacidae,0,60,FruiNect,0.673011667,215,250,250,NA,NA,7.12,NA,NA,NA,7,LC
Eupsittula aurea,Eupsittula,aurea,Peach-fronted Parakeet,Psittaciformes,Psittacidae,10,30,PlantSeed,1.313834033,230,280,280,NA,NA,15.34,NA,NA,0.0045,7,LC
Eupsittula canicularis,Eupsittula,canicularis,Orange-fronted Parakeet,Psittaciformes,Psittacidae,0,50,Omnivore,0.693147181,230,250,250,NA,NA,26.82,NA,NA,NA,3.7,LC
Eupsittula pertinax,Eupsittula,pertinax,Brown-throated Parakeet,Psittaciformes,Psittacidae,0,40,PlantSeed,1.054920168,230,280,280,10,19.73,19.73,NA,NA,NA,3.02,LC
Euptilotis neoxenus,Euptilotis,neoxenus,Eared Quetzal,Trogoniformes,Trogonidae,50,50,Omnivore,0.693147181,320,351,351,NA,NA,NA,NA,NA,NA,7.3,LC
