IUCN_species_name,common_name,family,genus,species,subspecies,diet_cat,diet_breadth,IUCN_category,mean_human_fp_range_2010,mean_human_fp_range_2020,percent_change_hf_2010_2020
Chilomys instans,Colombian forest mouse,Cricetidae,Chilomys,instans,NA,PlantSeed,1.279854226,LC,918.3567364,1113.514085,21.25071233
Chiroderma salvini,Salvin's Big-eyed Bat,Phyllostomidae,Chiroderma,salvini,NA,FruiNect,0,LC,677.3345324,846.7787183,25.01632174
Chiroderma trinitatum,Little Big-eyed Bat,Phyllostomidae,Chiroderma,trinitatum,NA,FruiNect,0,LC,299.675842,400.6108781,33.68140566
Chiroderma villosum,Hairy Big-eyed Bat,Phyllostomidae,Chiroderma,villosum,NA,FruiNect,0,LC,354.6561033,468.8211982,32.19036523
Chiropotes chiropotes,Bearded Saki,Pitheciidae,Chiropotes,chiropotes,NA,FruiNect,0.801818553,LC,90.21462161,131.2164109,45.44916177
Choeroniscus godmani,Godman's long-tailed bat,Phyllostomidae,Choeroniscus,godmani,NA,FruiNect,1.088899975,LC,616.1505325,754.9041976,22.51944254
Choeroniscus minor,Lesser long-tongued bat,Phyllostomidae,Choeroniscus,minor,NA,FruiNect,1.088899975,LC,297.1475447,397.551645,33.78930838
Choeroniscus periosus,Greater Long-tailed Bat,Phyllostomidae,Choeroniscus,periosus,NA,FruiNect,1.088899975,VU,498.630574,594.032821,19.13285144
Choeronycteris mexicana,Choeronycteris mexicana,Phyllostomidae,Choeronycteris,mexicana,NA,FruiNect,1.054920168,NT,629.1288453,814.7552642,29.50531045
Choloepus didactylus,Linnaeus's two-toed sloth,Megalonychidae,Choloepus,didactylus,NA,PlantSeed,0.610864302,LC,141.1683344,195.1893034,38.26705842
Choloepus hoffmanni,Hoffmann's two-toed sloth,Megalonychidae,Choloepus,hoffmanni,NA,PlantSeed,0.610864302,LC,443.2811967,564.5047369,27.34687171
Chrotopterus auritus,Woolly False Vampire Bat,Phyllostomidae,Chrotopterus,auritus,NA,Omnivore,1.366158848,LC,446.8371083,584.2828254,30.75969173
Chrysocyon brachyurus,Maned Wolf,Canidae,Chrysocyon,brachyurus,NA,Omnivore,1.359236701,NT,610.7756347,798.3350156,30.70839278
Coendou bicolor,Bicolored-spined porcupine,Erethizontidae,Coendou,bicolor,NA,PlantSeed,0.610864302,LC,308.4184872,417.3228211,35.31057263
Coendou ichillus,Streaked dwarf porcupine,Erethizontidae,Coendou,ichillus,NA,PlantSeed,0.610864302,DD,126.4368673,196.2451006,55.21192893
Coendou melanurus,Black-tailed hairy dwarf porcupine,Erethizontidae,Coendou,melanurus,NA,PlantSeed,0.610864302,LC,123.9140924,179.0986858,44.53455798
Coendou mexicanus,Mexican hairy dwarf porcupine,Erethizontidae,Coendou,mexicanus,NA,PlantSeed,0.610864302,LC,934.9364928,1162.213856,24.30939056
Coendou prehensilis,Brazilian porcupine,Erethizontidae,Coendou,prehensilis,NA,PlantSeed,0.610864302,LC,412.1765337,544.9114944,32.20342495
Coendou pruinosus,Frosted hairy dwarf porcupine,Erethizontidae,Coendou,pruinosus,NA,PlantSeed,0.610864302,LC,1090.972786,1237.327739,13.41508737
Coendou quichua,Andean porcupine,Erethizontidae,Coendou,quichua,NA,PlantSeed,0.610864302,DD,840.8798541,1025.076183,21.9051899
Coendou rufescens,Stump-tailed porcupin,Erethizontidae,Coendou,rufescens,NA,PlantSeed,0.610864302,LC,864.2782643,1067.018266,23.45772306
Coendou spinosus,Paraguaian hairy dwarf porcupine,Erethizontidae,Coendou,spinosus,NA,PlantSeed,0.610864302,LC,870.1590585,1149.712269,32.12667939
Coendou vestitus,Brown hairy dwarf porcupine,Erethizontidae,Coendou,vestitus,NA,PlantSeed,0.610864302,DD,1014.160121,1249.478336,23.20326047
Conepatus leuconotus,American hog-nosed skunk,Mephitidae,Conepatus,leuconotus,NA,Invertebrate,0.63903186,LC,591.1634412,865.3229965,46.37627029
Conepatus semistriatus,Striped Hog-nosed Skunk,Mephitidae,Conepatus,semistriatus,NA,Invertebrate,0.63903186,LC,897.1251987,1102.378289,22.87897949
Cryptonanus chacoensis,Chacoan Mouse Opossum,Didelphidae,Cryptonanus,chacoensis,NA,Omnivore,1.029653014,LC,545.1990714,733.1229202,34.46884977
Cryptonanus unduaviensis,Unduavi gracile opossum,Didelphidae,Cryptonanus,unduaviensis,NA,Omnivore,1.029653014,DD,236.9279902,333.476501,40.75014974
Cuniculus paca,Agouti,Cuniculidae,Cuniculus,paca,NA,PlantSeed,1.029653014,LC,460.3720512,599.9306,30.31429652
Cuniculus taczanowskii,Mountain paca,Cuniculidae,Cuniculus,taczanowskii,NA,PlantSeed,1.029653014,NT,641.4107615,790.7602148,23.28452565
Dasyprocta coibae,Coiban Agouti,Dasyproctidae,Dasyprocta,coibae,NA,Omnivore,0.943348392,NT,266.2338331,310.4171179,16.59566868
Dasyprocta fuliginosa,Black agouti,Dasyproctidae,Dasyprocta,fuliginosa,NA,Omnivore,0.943348392,LC,146.818915,197.0998819,34.24692723
Dasyprocta guamara,Orinoco Agouti,Dasyproctidae,Dasyprocta,guamara,NA,Omnivore,0.943348392,NT,351.0823293,500.2990847,42.50192702
Dasyprocta kalinowskii,Kalinowski's agouti,Dasyproctidae,Dasyprocta,kalinowskii,NA,Omnivore,0.943348392,DD,371.6008737,485.4677817,30.64226057
Dasyprocta leporina,Red-rumped Agouti,Dasyproctidae,Dasyprocta,leporina,NA,Omnivore,0.943348392,LC,406.4566384,540.9723216,33.0947192
Dasyprocta mexicana,Mexican Agouti,Dasyproctidae,Dasyprocta,mexicana,NA,Omnivore,0.943348392,CR,1201.243127,1521.460718,26.65718395
Dasyprocta punctata,Central American agouti,Dasyproctidae,Dasyprocta,punctata,NA,Omnivore,0.943348392,LC,918.7563726,1093.484505,19.01789611
Dasyprocta variegata,Brown Agouti,Dasyproctidae,Dasyprocta,variegata,NA,Omnivore,0.943348392,DD,254.8242333,374.5326676,46.97686434
Delomys dorsalis,Striped Atlantic Forest rat,Cricetidae,Delomys,dorsalis,NA,Omnivore,1.279854226,LC,862.1396024,1185.830597,37.54507899
Dermanura anderseni,Andersen's fruit-eating bat,Phyllostomidae,Dermanura,anderseni,NA,FruiNect,0.63903186,LC,180.2102879,255.6166502,41.84353911
Dermanura bogotensis,Bogota fruit-eating bat,Phyllostomidae,Dermanura,bogotensis,NA,FruiNect,0.63903186,LC,539.9347396,654.5080618,21.21984637
Dermanura cinerea,Gervais's fruit-eating bat,Phyllostomidae,Dermanura,cinerea,NA,FruiNect,0.63903186,LC,517.0102986,672.7845979,30.12982522
Dermanura glauca,Silver fruit-eating bat,Phyllostomidae,Dermanura,glauca,NA,FruiNect,0.63903186,LC,356.9132462,462.8095933,29.67005238
Dermanura gnoma,Gnome fruit-eating bat,Phyllostomidae,Dermanura,gnoma,NA,FruiNect,0.63903186,LC,328.9011156,441.3092442,34.17687665
Dermanura phaeotis,Pygmy Fruit-eating Bat,Phyllostomidae,Dermanura,phaeotis,NA,FruiNect,0.63903186,LC,558.5875456,696.9009359,24.76127357
Dermanura rava,NA,Phyllostomidae,Dermanura,rava,NA,FruiNect,0.63903186,LC,777.9906662,972.8450305,25.04584859
Dermanura rosenbergi,Rosenberg’s Fruit-eating Bat,Phyllostomidae,Dermanura,rosenbergi,NA,FruiNect,0.63903186,DD,566.9689893,757.0370013,33.52352871
Dermanura tolteca,Toltec Fruit-eating Bat,Phyllostomidae,Dermanura,tolteca,NA,FruiNect,0.63903186,LC,886.1529345,1107.488195,24.977095
Didelphis imperfecta,Guianan white-eared opossum,Didelphidae,Didelphis,imperfecta,NA,Omnivore,0.693147181,LC,86.68497434,129.0523933,48.87515887
Dinomys branickii,Pacarana,Dinomyidae,Dinomys,branickii,NA,PlantSeed,0.673011667,LC,368.888782,479.5503849,29.998636
Diplomys caniceps,Colombian soft-furred spiny-rat,Echimyidae,Diplomys,caniceps,NA,Omnivore,0.693147181,DD,2971.243911,3563.593348,19.93607574
Diplomys labilis,Rufous soft-furred spiny-rat,Echimyidae,Diplomys,labilis,NA,Omnivore,0.693147181,LC,515.8702163,601.2977617,16.55989098
Echimys saturnus,Dark spiny tree-rat ,Echimyidae,Echimys,saturnus,NA,FruiNect,0.500402424,DD,193.6561576,298.5252145,54.15219333
Ectophylla alba,Honduran white bat,Phyllostomidae,Ectophylla,alba,NA,FruiNect,0,NT,679.0786372,799.6779608,17.75925747
Eira barbara,Tayra,Mustelidae,Eira,barbara,NA,VertFishScav,0.325082973,LC,452.8132204,592.6528375,30.882406
Enchisthenes hartii,Velvety fruit-eating bat,Phyllostomidae,Enchisthenes,hartii,NA,FruiNect,0.63903186,LC,730.0644606,903.4324117,23.74693749
Eremoryzomys polius,Gray rice rat,Cricetidae,Eremoryzomys,polius,NA,PlantSeed,1.33217904,DD,756.6300028,964.7815474,27.5103477
Euryoryzomys legatus,Big-headed rice rat,Cricetidae,Euryoryzomys,legatus,NA,PlantSeed,1.33217904,LC,489.9160764,659.4131656,34.59716823
Euryoryzomys macconnelli,MacConnell's rice rat,Cricetidae,Euryoryzomys,macconnelli,NA,PlantSeed,1.33217904,LC,160.9145089,224.3844003,39.44323718
Euryoryzomys nitidus,Elegant rice rat,Cricetidae,Euryoryzomys,nitidus,NA,PlantSeed,1.33217904,LC,225.7054467,322.8752574,43.05160205
Euryoryzomys russatus,Euryoryzomys russatus,Cricetidae,Euryoryzomys,russatus,NA,PlantSeed,1.33217904,LC,990.3459057,1301.259294,31.39442351
Euryzygomatomys spinosus,Fischer's guiara,Echimyidae,Euryzygomatomys,spinosus,NA,PlantSeed,1.029653014,LC,975.1626405,1297.079447,33.01160168
Galictis vittata,Greater Grison,Mustelidae,Galictis,vittata,NA,Omnivore,1.557113098,LC,354.166638,468.3967084,32.25319897
Gardnerycteris crenulatum,Striped Hairy-nosed Bat,Phyllostomidae,Gardnerycteris,crenulatum,NA,Omnivore,0.693147181,LC,390.9181785,512.3696219,31.06825163
Gardnerycteris koepckeae,Koepcke's hairy-nosed bat,Phyllostomidae,Gardnerycteris,koepckeae,NA,Invertebrate,0.897945725,DD,174.8738584,251.8696515,44.02933281
Glironia venusta,Bushy-tailed Opossum,Didelphidae,Glironia,venusta,NA,Omnivore,1.33217904,LC,159.3055491,232.919525,46.20929799
Glossophaga commissarisi,Commissaris's long-tongued bat,Phyllostomidae,Glossophaga,commissarisi,NA,FruiNect,1.088899975,LC,409.0709437,518.1083312,26.65488447
Glossophaga leachii,Gray long-tongued bat ,Phyllostomidae,Glossophaga,leachii,NA,FruiNect,1.088899975,LC,1085.283946,1317.508367,21.39757262
Glossophaga soricina,Pallas's long-tongued bat,Phyllostomidae,Glossophaga,soricina,NA,FruiNect,1.088899975,LC,489.5127012,635.5095677,29.82493938
Glyphonycteris behnii,Behn's Big-eared Bat,Phyllostomidae,Glyphonycteris,behnii,NA,Invertebrate,0.500402424,DD,286.9296985,422.1667481,47.13246843
Glyphonycteris daviesi,Davies's big-eared bat,Phyllostomidae,Glyphonycteris,daviesi,NA,Invertebrate,0.500402424,LC,145.0309356,206.6217374,42.4673547
