"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"54","Hapalopsittaca fuertesi","Hapalopsittaca","fuertesi","Indigo-winged Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,230,240,240,NA,NA,NA,NA,NA,NA,6.9,"CR"
"55","Hapalopsittaca melanotis","Hapalopsittaca","melanotis","Black-winged Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,NA,NA,240,NA,NA,NA,NA,NA,NA,6.9,"LC"
"56","Hapalopsittaca pyrrhops","Hapalopsittaca","pyrrhops","Red-faced Parrot","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.088899975,NA,NA,220,NA,NA,NA,NA,NA,NA,6.9,"VU"
"57","Leptosittaca branickii","Leptosittaca","branickii","Golden-plumed Parakeet","Psittaciformes","Psittacidae",0,40,"PlantSeed",0.673011667,355,380,380,NA,NA,NA,NA,NA,NA,3.3,"VU"
"58","Myiopsitta monachus","Myiopsitta","monachus","Monk Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,NA,NA,290,12,22.1,22.1,NA,NA,120,6,"LC"
"59","Nannopsittaca dachilleae","Nannopsittaca","dachilleae","Amazonian Parrotlet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,120,NA,NA,22.7,NA,NA,NA,3,"NT"
"60","Nannopsittaca panychlora","Nannopsittaca","panychlora","Tepui Parrotlet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,NA,NA,140,NA,NA,NA,NA,NA,NA,5,"LC"
"61","Ognorhynchus icterotis","Ognorhynchus","icterotis","Yellow-eared Parrot","Psittaciformes","Psittacidae",0,40,"PlantSeed",0.673011667,NA,NA,420,NA,NA,NA,NA,NA,NA,4.9,"EN"
"62","Orthopsittaca manilatus","Orthopsittaca","manilatus","Red-bellied Macaw","Psittaciformes","Psittacidae",0,100,"FruiNect",0,500,510,510,NA,NA,NA,NA,NA,NA,10.7,"LC"
"63","Pionites melanocephalus","Pionites","melanocephalus","Black-headed Parrot","Psittaciformes","Psittacidae",0,30,"FruiNect",0.897945725,NA,NA,230,NA,22.6,22.6,NA,NA,NA,7.9,"LC"
